hour,charge_mwh,discharge_mwh,net_dispatch_mwh,strategy
5,3.920559675190168,23.38835492640857,19.4677952512184,da_plus_tilt
6,1.0763271331933095,32.21120579522028,31.13487866202697,da_plus_tilt
7,0.32717392780442067,21.225655873300184,20.898481945495764,da_plus_tilt
8,0.5636374876699559,7.215770242444354,6.6521327547743985,da_plus_tilt
9,2.89455523372335,1.8585806976423176,-1.0359745360810324,da_plus_tilt
10,12.133454778989094,2.5382174084414033,-9.595237370547691,da_plus_tilt
11,39.19091694889702,1.0070765466813938,-38.18384040221562,da_plus_tilt
12,50.28053022720365,0.1946556799515907,-50.08587454725206,da_plus_tilt
13,26.569430078881716,1.29291382705526,-25.276516251826457,da_plus_tilt
14,7.144357695627714,0.9516255668456473,-6.192732128782067,da_plus_tilt
15,0.9685262155128895,3.8301066681334928,2.8615804526206032,da_plus_tilt
16,0.042456535122168675,26.8023172823842,26.75986074726203,da_plus_tilt
17,0.0,61.680390046942286,61.680390046942286,da_plus_tilt
18,0.03608805485384338,48.83765866041649,48.801570605562645,da_plus_tilt
19,0.27487908099287534,14.332739829328355,14.05786074833548,da_plus_tilt
20,0.7384851037620132,4.8891993327550285,4.1507142289930155,da_plus_tilt
21,0.3295553619242509,1.1564023418065166,0.8268469798822657,da_plus_tilt
22,1.9314597728486191,0.3773399894818269,-1.5541197833667924,da_plus_tilt
23,2.2135910918936528,1.096591362369128,-1.1169997295245249,da_plus_tilt
0,13.725489374113645,0.10848398082069372,-13.617005393292951,alt_series_lp
1,35.69289869349055,0.15627771716734437,-35.536620976323206,alt_series_lp
2,59.4847258423249,0.05883996906196724,-59.425885873262935,alt_series_lp
3,39.16577806676967,0.15020506016177715,-39.015573006607895,alt_series_lp
4,11.32310614072945,1.2224045020821144,-10.100701638647337,alt_series_lp
5,3.8043214183316483,16.147011483968598,12.34269006563695,alt_series_lp
6,1.0943981445433981,33.654462300445466,32.56006415590207,alt_series_lp
7,0.522786564576452,25.123595882945843,24.60080931836939,alt_series_lp
8,1.044947978732793,12.257527647367068,11.212579668634275,alt_series_lp
9,2.4779639747986533,4.146205941108674,1.6682419663100205,alt_series_lp
10,10.859025639211255,4.147387220655505,-6.711638418555751,alt_series_lp
11,31.71017216419562,2.2380729770463965,-29.472099187149222,alt_series_lp
12,48.78243968781119,0.8236410430348998,-47.958798644776294,alt_series_lp
13,33.644530585891516,1.0885766846127176,-32.5559539012788,alt_series_lp
14,14.894173031759493,0.3933597979068928,-14.5008132338526,alt_series_lp
15,3.6299258172527544,1.31664629872656,-2.3132795185261945,alt_series_lp
16,0.22180841209016444,18.562827561637523,18.341019149547357,alt_series_lp
17,0.0788031973397339,59.7674020310029,59.68859883366317,alt_series_lp
18,0.28523460740969564,53.33862662038863,53.05339201297893,alt_series_lp
19,0.5041443706525862,19.527588547045237,19.02344417639265,alt_series_lp
20,0.6999076790956721,9.001534475777003,8.301626796681331,alt_series_lp
21,0.5134114997681855,1.9488925801156933,1.435481080347508,alt_series_lp
22,0.9111559252516283,2.0518716073695433,1.1407156821179152,alt_series_lp
23,0.8000470796891578,1.2923461236165366,0.4922990439273788,alt_series_lp
