entry_time,exit_time,direction,entry_price,exit_price,gross_pnl,cost,pnl,hold_hours,entry_z,exit_z,forced_exit
2020-01-23 17:00:00+00:00,2020-01-24 17:00:00+00:00,1,-48.04,-43.63999999999999,4.400000000000006,8.290730967718904,-3.8907309677188984,24,-2.089028964509047,-1.8751961947462206,
2020-02-22 09:00:00+00:00,2020-02-23 05:00:00+00:00,1,-47.51,-13.030000000000001,34.48,8.290730967718904,26.189269032281093,20,-2.063271835423979,-0.3876004941916504,
2020-03-22 10:00:00+00:00,2020-03-22 15:00:00+00:00,-1,41.31999999999999,0.0,41.31999999999999,8.290730967718904,33.02926903228109,5,2.253720195946896,0.245636094446901,
2020-04-13 10:00:00+00:00,2020-04-13 16:00:00+00:00,-1,65.0,-6.41,71.41,7.795436369915532,63.61456363008446,6,3.6632681853194096,-0.02934831800940152,
2020-04-21 09:00:00+00:00,2020-04-21 10:00:00+00:00,-1,63.37,92.55,-29.18,7.795436369915532,-36.97543636991553,1,3.5789807619833782,5.087880769925329,
2020-04-21 11:00:00+00:00,2020-04-21 12:00:00+00:00,-1,94.14999999999999,90.08,4.069999999999993,7.795436369915532,-3.7254363699155384,1,5.170616890991371,4.960156883029626,
2020-04-21 13:00:00+00:00,2020-04-21 16:00:00+00:00,-1,90.04,-3.009999999999999,93.05000000000001,7.795436369915532,85.25456363008448,3,4.958088480002975,0.14646593925593893,
2020-05-23 12:00:00+00:00,2020-05-23 16:00:00+00:00,-1,39.22,0.02999999999999936,39.19,7.795436369915532,31.394563630084466,4,2.3301824346427993,0.30366456928141966,
2020-05-24 08:00:00+00:00,2020-05-24 15:00:00+00:00,-1,48.71,-10.08,58.79,7.795436369915532,50.99456363008447,7,2.820911052715764,-0.2191242957046366,
2020-05-31 13:00:00+00:00,2020-05-31 15:00:00+00:00,-1,37.97,0.5399999999999999,37.43,7.795436369915532,29.634563630084468,2,2.2655448400599534,0.33003670787122075,
2020-06-25 06:00:00+00:00,2020-06-25 08:00:00+00:00,-1,45.78,2.450000000000003,43.33,7.795436369915532,35.53456363008446,2,2.6694005310135736,0.42880295239380917,
2020-09-13 11:00:00+00:00,2020-09-13 14:00:00+00:00,1,-58.8,-13.459999999999999,45.339999999999996,7.41768116623221,37.92231883376779,3,-2.92723153738017,-0.4623245116130764,
2020-10-02 17:00:00+00:00,2020-10-03 17:00:00+00:00,1,-40.370000000000005,-44.82,-4.449999999999996,7.059509591289779,-11.509509591289774,24,-2.0310855685379194,-2.2853890989188246,
2020-10-04 10:00:00+00:00,2020-10-04 11:00:00+00:00,1,-43.18,-7.33,35.85,7.059509591289779,28.790490408710223,1,-2.191668247272828,-0.14295328903564536,
2020-10-08 20:00:00+00:00,2020-10-09 06:00:00+00:00,1,-43.53,-12.829999999999998,30.700000000000003,7.059509591289779,23.640490408710225,10,-2.211669648538742,-0.45726102321429246,
2020-10-14 17:00:00+00:00,2020-10-15 08:00:00+00:00,1,-57.989999999999995,-9.170000000000002,48.81999999999999,7.059509591289779,41.76049040871021,15,-3.038013255124785,-0.2481035128335929,
2020-10-22 17:00:00+00:00,2020-10-23 05:00:00+00:00,1,-40.879999999999995,-9.769999999999996,31.11,7.059509591289779,24.05049040871022,12,-2.0602304675253933,-0.282391629289445,
2020-10-28 16:00:00+00:00,2020-10-29 02:00:00+00:00,1,-40.04,-4.609999999999999,35.43,7.059509591289779,28.37049040871022,10,-2.0122271044872,0.0124861722308857,
2020-11-02 16:00:00+00:00,2020-11-03 15:00:00+00:00,1,-40.44,0.0,40.44,7.059509591289779,33.380490408710216,23,-2.035085848791102,0.27593320033335184,
2020-11-04 08:00:00+00:00,2020-11-05 08:00:00+00:00,1,-39.88,-45.25,-5.369999999999997,7.059509591289779,-12.429509591289776,24,-2.0030836067656397,-2.309962249045519,
2020-11-05 15:00:00+00:00,2020-11-06 06:00:00+00:00,1,-41.28,0.0,41.28,7.059509591289779,34.22049040871022,15,-2.083089211829295,0.27593320033335184,
2020-11-16 19:00:00+00:00,2020-11-17 19:00:00+00:00,1,-44.269999999999996,-41.77,2.499999999999993,7.059509591289779,-4.559509591289786,24,-2.2539583255009594,-2.111091173601575,
2020-11-17 21:00:00+00:00,2020-11-18 21:00:00+00:00,1,-42.11,-32.24,9.869999999999997,7.059509591289779,2.8104904087102183,24,-2.130521106259891,-1.5664815905611187,
2020-11-19 06:00:00+00:00,2020-11-20 06:00:00+00:00,1,-40.1,0.0,40.1,7.059509591289779,33.04049040871022,24,-2.0156559161327854,0.27593320033335184,
2020-11-21 09:00:00+00:00,2020-11-22 09:00:00+00:00,1,-42.21,-47.01,-4.799999999999997,7.059509591289779,-11.859509591289775,24,-2.1362357923358664,-2.410540723982686,
2020-11-22 10:00:00+00:00,2020-11-23 10:00:00+00:00,1,-48.34,-43.239999999999995,5.1000000000000085,7.059509591289779,-1.9595095912897706,24,-2.486546048793159,-2.195097058918413,
2020-11-23 11:00:00+00:00,2020-11-23 15:00:00+00:00,1,-41.669999999999995,-4.850000000000001,36.81999999999999,7.059509591289779,29.760490408710215,4,-2.105376487525599,-0.001229074351455385,
2020-11-24 06:00:00+00:00,2020-11-25 06:00:00+00:00,1,-43.28,-46.739999999999995,-3.4599999999999937,7.059509591289779,-10.519509591289772,24,-2.1973829333488033,-2.395111071577552,
2020-11-25 07:00:00+00:00,2020-11-25 17:00:00+00:00,1,-47.06,-1.4200000000000017,45.64,7.059509591289779,38.58049040871022,10,-2.413398067020674,0.194784658054501,
2020-11-30 12:00:00+00:00,2020-11-30 16:00:00+00:00,1,-40.96,-0.2700000000000031,40.69,7.059509591289779,33.630490408710216,4,-2.064802216386174,0.26050354792821806,
2020-12-07 07:00:00+00:00,2020-12-07 09:00:00+00:00,1,-47.739999999999995,-80.88,-33.14,7.059509591289779,-40.19950959128978,2,-2.452257932337306,-4.346104897915556,
2020-12-07 10:00:00+00:00,2020-12-07 11:00:00+00:00,1,-78.04,-83.11000000000001,-5.070000000000007,7.059509591289779,-12.129509591289786,1,-4.183807813357855,-4.473542397409808,
2020-12-07 12:00:00+00:00,2020-12-07 16:00:00+00:00,1,-73.03,-77.13,-4.099999999999994,7.059509591289779,-11.159509591289773,4,-3.897502040951487,-4.131804170066478,
2020-12-07 17:00:00+00:00,2020-12-07 23:00:00+00:00,1,-69.99,-6.0,63.989999999999995,7.059509591289779,56.93049040871021,6,-3.723775584241834,-0.06694796422517246,
2020-12-08 17:00:00+00:00,2020-12-08 20:00:00+00:00,1,-63.94000000000001,-0.14000000000000057,63.80000000000001,7.059509591289779,56.74049040871023,3,-3.3780370766453225,0.26793263982698623,
2020-12-21 22:00:00+00:00,2020-12-21 23:00:00+00:00,1,-45.17,-9.11,36.06,7.059509591289779,29.000490408710224,1,-2.3053905001847386,-0.24467470118800752,
2020-12-27 09:00:00+00:00,2020-12-28 02:00:00+00:00,1,-49.489999999999995,-7.92,41.56999999999999,7.059509591289779,34.51049040871021,17,-2.552264938666876,-0.17666993688390023,
2021-01-06 06:00:00+00:00,2021-01-06 08:00:00+00:00,1,-52.12,-79.25999999999999,-27.139999999999993,7.059912788587599,-34.199912788587596,2,-2.6427470447940054,-4.193623509669286,
2021-01-06 09:00:00+00:00,2021-01-06 17:00:00+00:00,1,-69.43,-83.80999999999999,-14.379999999999981,7.059912788587599,-21.43991278858758,8,-3.6319022255969204,-4.453626748990676,
2021-01-06 18:00:00+00:00,2021-01-07 01:00:00+00:00,1,-77.78999999999999,-3.510000000000005,74.27999999999999,7.059912788587599,67.22008721141239,7,-4.109622463119298,0.13500184826374506,
2021-01-10 22:00:00+00:00,2021-01-11 02:00:00+00:00,1,-42.809999999999995,-11.869999999999997,30.939999999999998,7.059912788587599,23.8800872114124,4,-2.1107404166440844,-0.34271838925863257,
2021-01-11 08:00:00+00:00,2021-01-11 11:00:00+00:00,1,-64.81,-4.469999999999999,60.34,7.059912788587599,53.28008721141241,3,-3.3678989364398166,0.08014402194538622,
2021-01-11 16:00:00+00:00,2021-01-11 18:00:00+00:00,1,-48.07,-10.189999999999998,37.88,7.059912788587599,30.820087211412403,2,-2.411315590013428,-0.246717193201504,
2021-01-12 19:00:00+00:00,2021-01-13 03:00:00+00:00,1,-42.300000000000004,-14.170000000000002,28.130000000000003,7.059912788587599,21.070087211412403,8,-2.0815971964124564,-0.47414859814636845,
2021-01-13 15:00:00+00:00,2021-01-14 02:00:00+00:00,1,-41.05,-10.46,30.589999999999996,7.059912788587599,23.530087211412397,11,-2.010167735060426,-0.2621459568535427,
2021-03-11 10:00:00+00:00,2021-03-11 11:00:00+00:00,-1,85.75999999999999,88.47,-2.710000000000008,7.059912788587599,-9.769912788587607,1,5.236208260180335,5.391067332391537,
2021-03-11 12:00:00+00:00,2021-03-11 13:00:00+00:00,-1,80.31,76.21000000000001,4.099999999999994,7.059912788587599,-2.959912788587605,1,4.924775808685483,4.690487175450825,
2021-03-11 14:00:00+00:00,2021-03-11 15:00:00+00:00,-1,35.769999999999996,84.09,-48.32000000000001,7.059912788587599,-55.3799127885876,1,2.379601241789943,5.140778499814023,
2021-03-11 16:00:00+00:00,2021-03-11 17:00:00+00:00,-1,33.03,-10.43,43.46,7.059912788587599,36.4000872114124,1,2.2230278625062927,-0.2604316497810939,
2021-03-11 21:00:00+00:00,2021-03-11 23:00:00+00:00,-1,49.08,-12.48,61.56,7.059912788587599,54.500087211412406,2,3.1401821462663606,-0.3775759663984235,
2021-03-12 09:00:00+00:00,2021-03-12 14:00:00+00:00,1,-44.57,-6.549999999999997,38.02,7.059912788587599,30.960087211412404,5,-2.2113130982277434,-0.03871460174439197,
2021-03-20 23:00:00+00:00,2021-03-21 04:00:00+00:00,1,-41.65,-11.510000000000002,30.139999999999997,7.059912788587599,23.080087211412398,5,-2.0444538765094005,-0.32214670438924814,
2021-03-27 11:00:00+00:00,2021-03-27 13:00:00+00:00,-1,48.08,-9.96,58.04,7.059912788587599,50.980087211412396,2,3.0830385771847366,-0.23357417231273062,
2021-03-28 11:00:00+00:00,2021-03-28 14:00:00+00:00,-1,37.11,0.0,37.11,7.059912788587599,30.0500872114124,3,2.4561736243593195,0.3355757757402462,
2021-04-04 20:00:00+00:00,2021-04-04 23:00:00+00:00,1,-43.1,0.0,43.1,6.85400167391849,36.24599832608151,3,-2.2058398996767825,0.33169259257777167,
2021-04-05 03:00:00+00:00,2021-04-05 08:00:00+00:00,-1,31.12,-4.460000000000001,35.58,6.85400167391849,28.72599832608151,5,2.163897027820503,0.06910802377370405,
2021-04-07 21:00:00+00:00,2021-04-08 04:00:00+00:00,1,-73.02000000000001,-7.600000000000001,65.42000000000002,6.85400167391849,58.56599832608153,7,-3.9673937782906177,-0.11576093273857674,
2021-04-08 20:00:00+00:00,2021-04-09 20:00:00+00:00,1,-40.870000000000005,-35.010000000000005,5.859999999999999,6.85400167391849,-0.9940016739184907,24,-2.074547615274749,-1.7295373970703019,
2021-04-11 22:00:00+00:00,2021-04-12 12:00:00+00:00,1,-45.93,-9.169999999999995,36.760000000000005,6.85400167391849,29.905998326081516,14,-2.372457462393265,-0.20819541099471672,
2021-04-13 06:00:00+00:00,2021-04-13 11:00:00+00:00,1,-47.19,-7.289999999999999,39.9,6.85400167391849,33.04599832608151,5,-2.4466405468536068,-0.0975095389427782,
2021-04-21 22:00:00+00:00,2021-04-22 07:00:00+00:00,1,-40.769999999999996,-11.579999999999998,29.189999999999998,6.85400167391849,22.33599832608151,9,-2.0686600688890073,-0.3500852788910853,
2021-05-02 12:00:00+00:00,2021-05-02 14:00:00+00:00,-1,30.07,0.0,30.07,6.85400167391849,23.21599832608151,2,2.1020777907702186,0.33169259257777167,
2021-05-05 07:00:00+00:00,2021-05-05 09:00:00+00:00,1,-49.76,-0.8399999999999963,48.92,6.85400167391849,42.06599832608151,2,-2.5979504889671614,0.28223720293754395,
2021-05-05 20:00:00+00:00,2021-05-06 00:00:00+00:00,1,-42.04,-13.939999999999998,28.1,6.85400167391849,21.245998326081512,4,-2.1434319079879236,-0.489031373594583,
2021-05-08 12:00:00+00:00,2021-05-08 15:00:00+00:00,-1,37.15,76.34,-39.190000000000005,6.85400167391849,-46.044001673918494,3,2.5189160748807113,4.8262455034527765,
2021-05-09 10:00:00+00:00,2021-05-09 15:00:00+00:00,-1,46.24,1.7999999999999998,44.440000000000005,6.85400167391849,37.585998326081516,5,3.054094041344607,0.43766842752111734,
2021-05-16 16:00:00+00:00,2021-05-16 19:00:00+00:00,-1,40.95,-1.2999999999999972,42.25,6.85400167391849,35.39599832608151,3,2.742642837538886,0.2551544895631333,
2021-05-21 12:00:00+00:00,2021-05-21 15:00:00+00:00,-1,36.91,0.0,36.91,6.85400167391849,30.055998326081507,3,2.504785963554932,0.33169259257777167,
2021-05-22 15:00:00+00:00,2021-05-22 21:00:00+00:00,1,-56.14,-74.59,-18.450000000000003,6.85400167391849,-25.304001673918492,6,-2.9735759483774644,-4.059828256546758,
2021-05-22 22:00:00+00:00,2021-05-23 01:00:00+00:00,1,-57.06,-12.65,44.410000000000004,6.85400167391849,37.555998326081514,3,-3.027741375126286,-0.41308202521851867,
2021-05-24 15:00:00+00:00,2021-05-24 16:00:00+00:00,-1,31.730000000000004,-13.719999999999999,45.45,6.85400167391849,38.595998326081514,1,2.1998110607735266,-0.4760787715459519,
2021-05-26 21:00:00+00:00,2021-05-26 22:00:00+00:00,1,-50.45,-12.139999999999993,38.31000000000001,6.85400167391849,31.45599832608152,1,-2.6385745590287777,-0.383055538651237,
2021-05-30 12:00:00+00:00,2021-05-30 14:00:00+00:00,-1,31.619999999999997,0.0,31.619999999999997,6.85400167391849,24.765998326081508,2,2.1933347597492103,0.33169259257777167,
2021-06-12 19:00:00+00:00,2021-06-13 01:00:00+00:00,1,-56.089999999999996,-13.499999999999998,42.589999999999996,6.85400167391849,35.73599832608151,6,-2.9706321751845937,-0.46312616949732066,
2021-06-23 17:00:00+00:00,2021-06-23 20:00:00+00:00,-1,34.28999999999999,0.0,34.28999999999999,6.85400167391849,27.435998326081503,3,2.350532248248506,0.33169259257777167,
2021-06-27 03:00:00+00:00,2021-06-27 06:00:00+00:00,-1,33.7,0.0,33.7,6.85400167391849,26.845998326081514,3,2.3157957245726326,0.33169259257777167,
2021-06-27 15:00:00+00:00,2021-06-27 20:00:00+00:00,-1,32.95,0.0,32.95,6.85400167391849,26.095998326081514,5,2.2716391266795717,0.33169259257777167,
