hour,mean,std,count,median
0,6.375531170483461,20.18587544316737,2358,2.785
1,5.030949299957573,19.162478993203845,2357,2.1499999999999986
2,3.6235935511243103,18.54648667557462,2357,1.4300000000000068
3,3.270470937632584,18.520810325307288,2357,1.0799999999999983
4,3.297299533305049,20.356221597972635,2357,1.0700000000000074
5,4.1858633856597365,21.756821382826452,2357,1.7100000000000009
6,5.949096308867205,22.32503045913084,2357,3.019999999999982
7,5.673927662282563,21.57048199431509,2357,2.519999999999996
8,3.9491355536699198,21.750373849995675,2357,1.4200000000000017
9,1.4348536274925754,22.3290952011713,2357,0.05000000000000071
10,-1.0051983453542643,25.71828336385173,2357,-0.4299999999999997
11,-3.0556788290199406,26.833301656449677,2357,-1.3100000000000023
12,-3.8602662282562585,24.898226069283577,2357,-2.030000000000001
13,-3.6403298684768775,22.21369621597129,2357,-2.1999999999999886
14,-3.041430844293594,20.663161126125047,2357,-2.1700000000000017
15,-0.9863215952481975,21.09552187994899,2357,-1.029999999999994
16,3.7391228256257953,23.40855589883685,2357,1.5999999999999943
17,8.314028425965208,26.091418488348317,2357,3.8700000000000045
18,9.550625795502759,25.314476444579682,2357,5.030000000000001
19,9.408606279168435,22.33796384579752,2357,5.010000000000019
20,9.305503818413236,20.666260796834507,2357,4.739999999999998
21,9.785378659312686,21.376833106851475,2357,5.180000000000007
22,9.365463512940178,21.93735968809444,2357,4.890000000000001
23,7.25543893129771,20.700899975062917,2358,3.2899999999999956
