,0
2018-12-29 23:00:00+00:00,3.791615334791298
2019-01-12 23:00:00+00:00,3.7033510051929737
2019-01-26 23:00:00+00:00,3.6150934209151893
2019-02-09 23:00:00+00:00,3.7761461224982185
2019-02-23 23:00:00+00:00,4.13863880138893
2019-03-09 23:00:00+00:00,5.530390777831615
2019-03-23 23:00:00+00:00,5.356285874794141
2019-04-06 23:00:00+00:00,3.689396430564688
2019-04-20 23:00:00+00:00,4.125023184589475
2019-05-04 23:00:00+00:00,4.430561499356957
2019-05-18 23:00:00+00:00,4.130604446624412
2019-06-01 23:00:00+00:00,4.212428100668376
2019-06-15 23:00:00+00:00,2.9145992584899147
2019-06-29 23:00:00+00:00,2.919823574202877
2019-07-13 23:00:00+00:00,2.9292021343596373
2019-07-27 23:00:00+00:00,2.869919373432493
2019-08-10 23:00:00+00:00,2.859933091213968
2019-08-24 23:00:00+00:00,2.855127131021306
2019-09-07 23:00:00+00:00,3.0712252226727608
2019-09-21 23:00:00+00:00,3.63154145357755
2019-10-05 23:00:00+00:00,3.181768582912274
2019-10-19 23:00:00+00:00,3.309658373399231
2019-11-02 23:00:00+00:00,3.178464201907828
2019-11-16 23:00:00+00:00,3.324126608021002
2019-11-30 23:00:00+00:00,3.6138686657263404
2019-12-14 23:00:00+00:00,4.016853957877819
2019-12-28 23:00:00+00:00,4.3332376598656515
2020-01-11 23:00:00+00:00,4.9710745450485785
2020-01-25 23:00:00+00:00,7.063227870985434
2020-02-08 23:00:00+00:00,6.749102175430667
2020-02-22 23:00:00+00:00,7.611935037708248
2020-03-07 23:00:00+00:00,8.084274302039534
2020-03-21 23:00:00+00:00,6.682398938394737
2020-04-04 23:00:00+00:00,6.529173339596081
2020-04-18 23:00:00+00:00,6.795118829312465
2020-05-02 23:00:00+00:00,6.299594819046739
2020-05-16 23:00:00+00:00,6.101108344595754
2020-05-30 23:00:00+00:00,5.16920966181726
2020-06-13 23:00:00+00:00,4.7428689355753635
2020-06-27 23:00:00+00:00,4.49626143622037
2020-07-11 23:00:00+00:00,5.1701538688117665
2020-07-25 23:00:00+00:00,4.75689779565216
2020-08-08 23:00:00+00:00,5.492921335865968
2020-08-22 23:00:00+00:00,5.883187386093133
2020-09-05 23:00:00+00:00,5.498065605223942
2020-09-19 23:00:00+00:00,5.252913642034293
2020-10-03 23:00:00+00:00,6.828336235244438
2020-10-17 23:00:00+00:00,6.070018230092858
2020-10-31 23:00:00+00:00,6.616050023753726
2020-11-14 23:00:00+00:00,7.018602394899909
2020-11-28 23:00:00+00:00,8.736712904165339
2020-12-12 23:00:00+00:00,8.010050746369854
2020-12-26 23:00:00+00:00,7.017564689790098
2021-01-09 23:00:00+00:00,6.519831181950429
2021-01-23 23:00:00+00:00,5.81220423781248
2021-02-06 23:00:00+00:00,5.952906654889382
2021-02-20 23:00:00+00:00,5.232666704863962
2021-03-06 23:00:00+00:00,4.737373933155111
2021-03-20 23:00:00+00:00,4.130397439596113
2021-04-03 23:00:00+00:00,3.341939179206077
2021-04-17 23:00:00+00:00,3.6631823943734614
2021-05-01 23:00:00+00:00,3.6075290818446932
2021-05-15 23:00:00+00:00,3.4611248485016315
2021-05-29 23:00:00+00:00,3.0572629776866203
2021-06-12 23:00:00+00:00,3.139126206995368
2021-06-26 23:00:00+00:00,3.129505941738792
2021-07-10 23:00:00+00:00,3.021750910022365
2021-07-24 23:00:00+00:00,3.0234991732031804
2021-08-07 23:00:00+00:00,4.013324514745628
2021-08-21 23:00:00+00:00,4.091581377621412
2021-09-04 23:00:00+00:00,4.083322915845043
2021-09-18 23:00:00+00:00,3.5682322037444885
2021-10-02 23:00:00+00:00,4.497058885488083
2021-10-16 23:00:00+00:00,6.8993521405879825
2021-10-30 23:00:00+00:00,8.19773737181025
2021-11-13 23:00:00+00:00,7.993602845509074
2021-11-27 23:00:00+00:00,7.962987142602291
2021-12-11 23:00:00+00:00,7.099874113014297
2021-12-25 23:00:00+00:00,6.520618280305433
2022-01-08 23:00:00+00:00,6.534645551884854
2022-01-22 23:00:00+00:00,7.13447737892927
2022-02-05 23:00:00+00:00,6.717523613461862
2022-02-19 23:00:00+00:00,6.07361361217921
2022-03-05 23:00:00+00:00,6.421139523567827
2022-03-19 23:00:00+00:00,5.12203392759411
2022-04-02 23:00:00+00:00,5.070167131870515
2022-04-16 23:00:00+00:00,4.467937266392218
2022-04-30 23:00:00+00:00,4.394504029738642
2022-05-14 23:00:00+00:00,4.5909974145051455
2022-05-28 23:00:00+00:00,4.327144491061994
2022-06-11 23:00:00+00:00,4.923958586601292
2022-06-25 23:00:00+00:00,4.407492620910468
2022-07-09 23:00:00+00:00,5.279772797544331
2022-07-23 23:00:00+00:00,4.936481345708105
2022-08-06 23:00:00+00:00,4.635090908907739
2022-08-20 23:00:00+00:00,4.800200554039372
2022-09-03 23:00:00+00:00,4.409141259526775
2022-09-17 23:00:00+00:00,4.101250340627638
2022-10-01 23:00:00+00:00,4.191882277309459
2022-10-15 23:00:00+00:00,3.3681006273100027
2022-10-29 23:00:00+00:00,3.20623493264787
2022-11-12 23:00:00+00:00,3.927293136988088
2022-11-26 23:00:00+00:00,4.783645801155311
2022-12-10 23:00:00+00:00,5.136033865942096
2022-12-24 23:00:00+00:00,5.3157460806983385
2023-01-07 23:00:00+00:00,5.876082772558971
2023-01-21 23:00:00+00:00,6.07642492943296
2023-02-04 23:00:00+00:00,5.871265945130012
2023-02-18 23:00:00+00:00,4.316267267810404
2023-03-04 23:00:00+00:00,3.832970399961763
2023-03-18 23:00:00+00:00,5.946167396208958
2023-04-01 23:00:00+00:00,5.954584554063736
2023-04-15 23:00:00+00:00,5.737885681174952
2023-04-29 23:00:00+00:00,5.947803689322372
2023-05-13 23:00:00+00:00,5.103648270103135
2023-05-27 23:00:00+00:00,4.2230820611900155
2023-06-10 23:00:00+00:00,4.338062926639634
2023-06-24 23:00:00+00:00,4.3371673469423255
2023-07-08 23:00:00+00:00,4.2565715852331
2023-07-22 23:00:00+00:00,4.32546672638228
2023-08-05 23:00:00+00:00,3.9689672432362983
2023-08-19 23:00:00+00:00,4.501178153115605
2023-09-02 23:00:00+00:00,4.668096928940801
2023-09-16 23:00:00+00:00,4.307459407574551
2023-09-30 23:00:00+00:00,4.719929249365844
2023-10-14 23:00:00+00:00,5.728867639275909
2023-10-28 23:00:00+00:00,6.402122909731526
2023-11-11 23:00:00+00:00,6.355625074377238
2023-11-25 23:00:00+00:00,6.495898690895163
2023-12-09 23:00:00+00:00,6.549129419149838
2023-12-23 23:00:00+00:00,7.767621267063579
2024-01-06 23:00:00+00:00,9.175263047265787
2024-01-20 23:00:00+00:00,6.519270789116153
2024-02-03 23:00:00+00:00,6.603036561105502
2024-02-17 23:00:00+00:00,6.9158911802651035
2024-03-02 23:00:00+00:00,5.970223825956436
2024-03-16 23:00:00+00:00,5.629603686616917
2024-03-30 23:00:00+00:00,5.266266481835959
2024-04-13 23:00:00+00:00,5.362273152081196
2024-04-27 23:00:00+00:00,5.117213049719004
2024-05-11 23:00:00+00:00,4.4398978975367696
2024-05-25 23:00:00+00:00,5.254426102708781
2024-06-08 23:00:00+00:00,4.623765537793065
2024-06-22 23:00:00+00:00,4.4100768330146725
2024-07-06 23:00:00+00:00,4.392889236359621
2024-07-20 23:00:00+00:00,4.298812442654521
2024-08-03 23:00:00+00:00,4.247665816679833
2024-08-17 23:00:00+00:00,3.932557351048461
2024-08-31 23:00:00+00:00,3.934800000596731
2024-09-14 23:00:00+00:00,4.168007462542282
2024-09-28 23:00:00+00:00,4.275260927287416
2024-10-12 23:00:00+00:00,4.536330820829144
2024-10-26 23:00:00+00:00,4.683079309000157
2024-11-09 23:00:00+00:00,4.625085556982272
2024-11-23 23:00:00+00:00,5.7965685503744435
2024-12-07 23:00:00+00:00,6.739419178140733
2024-12-21 23:00:00+00:00,7.194909789573817
2025-01-04 23:00:00+00:00,7.686265138797658
2025-01-18 23:00:00+00:00,8.223442726774373
2025-02-01 23:00:00+00:00,7.086936109475972
2025-02-15 23:00:00+00:00,8.050609100726268
2025-03-01 23:00:00+00:00,7.977269209208964
2025-03-15 23:00:00+00:00,8.581468816320156
2025-03-29 23:00:00+00:00,7.507973036848412
2025-04-12 23:00:00+00:00,7.085227451320045
2025-04-26 23:00:00+00:00,6.951637126115859
2025-05-10 23:00:00+00:00,5.384635994108711
2025-05-24 23:00:00+00:00,4.101513158594365
2025-06-07 23:00:00+00:00,3.2783712311769038
2025-06-21 23:00:00+00:00,3.2133098084366263
2025-07-05 23:00:00+00:00,3.4445795316337957
2025-07-19 23:00:00+00:00,3.321931634540183
2025-08-02 23:00:00+00:00,3.5046685728869367
2025-08-16 23:00:00+00:00,3.964067661808234
2025-08-30 23:00:00+00:00,3.7376880624022895
2025-09-13 23:00:00+00:00,3.7765932608450052
2025-09-27 23:00:00+00:00,3.9636043063401725
2025-10-11 23:00:00+00:00,3.7581018234616903
2025-10-25 23:00:00+00:00,3.7563539421156373
2025-11-08 23:00:00+00:00,3.5885556809824175
2025-11-22 23:00:00+00:00,3.684682455190994
2025-12-06 23:00:00+00:00,5.010327609384174
2025-12-20 23:00:00+00:00,5.828353136299468
2026-01-03 23:00:00+00:00,7.930707396777578
2026-01-17 23:00:00+00:00,9.014901859167159
2026-01-31 23:00:00+00:00,8.917334356247563
2026-02-14 23:00:00+00:00,9.200592912374912
2026-02-28 23:00:00+00:00,7.939612510569883
2026-03-14 23:00:00+00:00,5.749622498148821
2026-03-28 23:00:00+00:00,5.266768086471252
2026-04-11 23:00:00+00:00,4.708226497143743
2026-04-25 23:00:00+00:00,4.382273298823203
