,param,tstat,pvalue
0,6.597098976518006,15.521057758913843,2.4989738833030317e-54
1,-0.9059536163842867,-9.74941448165807,1.855352625614664e-22
2,-1.4115981841568117,-7.476921151173551,7.608403240288469e-14
3,-2.839523222295644,-11.741542360260281,7.804991491665039e-32
4,-3.076383449853326,-11.61316491001072,3.5329225156063247e-31
5,-2.7593925177893035,-9.13977414996596,6.258289160377674e-20
6,-1.5896616535534305,-4.11043820087133,3.9490896522748146e-05
7,0.3136744901217243,0.7398830308807017,0.45937097175582775
8,0.03350576023285262,0.07371879826396247,0.9412341406356364
9,-1.7525319264810628,-3.6223192615282356,0.00029197345475848077
10,-4.531848057790857,-8.718602569268343,2.8165632991314427e-18
11,-7.238449342487304,-12.039604681173827,2.200073926394355e-33
12,-9.417231589958229,-15.131359786153437,1.0059512234143416e-51
13,-10.15845787555874,-17.5172053180236,1.059013245328864e-68
14,-9.576393908289479,-18.705559203838742,4.460294231839601e-78
15,-8.668082601321348,-18.44095223880102,6.164597518913619e-76
16,-6.32285352338319,-14.506350295090957,1.1044253640173941e-47
17,-1.7655270472359865,-3.888154408545918,0.00010100936308914796
18,2.441422560147933,4.960991354217544,7.013431390699966e-07
19,3.75295305413408,7.948894657768494,1.8818298245518525e-15
20,3.645802259834687,8.933824529377807,4.115298494316331e-19
21,3.299717364747319,9.17830592537019,4.379263681216145e-20
22,3.644403134798033,10.494758599143463,9.13108146474721e-26
23,3.2695161537999624,11.25893749504749,2.092665214428941e-29
24,0.9969894161149053,5.425809301451743,5.769252978358806e-08
