,segment,alpha,beta,r2,n
0,0,0.008660030618760839,-7.861666032065351e-05,0.025238836757290217,1031
1,1,0.13670289369563768,-0.0004292582632586583,0.044127954218769916,494
2,2,-0.007321799635391942,-0.00014423116531492062,0.0347661824418638,1247
