,rolling_granger_pvalue
2019-10-01 00:00:00+00:00,0.02195877996023136
2019-10-08 00:00:00+00:00,0.018469041149024368
2019-10-15 00:00:00+00:00,0.017012857870136282
2019-10-22 00:00:00+00:00,0.011582955465443943
2019-10-29 00:00:00+00:00,0.020283102960414932
2019-11-05 00:00:00+00:00,0.06372963819699629
2019-11-12 00:00:00+00:00,0.04907885255352627
2019-11-19 00:00:00+00:00,0.04356856477716067
2019-11-26 00:00:00+00:00,0.008214387979563717
2019-12-03 00:00:00+00:00,0.004985897587497137
2019-12-10 00:00:00+00:00,0.004809924286719581
2019-12-17 00:00:00+00:00,0.0021839103946910275
2019-12-24 00:00:00+00:00,0.004869425995025148
2019-12-31 00:00:00+00:00,0.0063253789511728276
2020-01-07 00:00:00+00:00,0.0050002728809974886
2020-01-14 00:00:00+00:00,0.013739016170328753
2020-01-21 00:00:00+00:00,0.0086141227329573
2020-01-28 00:00:00+00:00,0.003984370425486865
2020-02-04 00:00:00+00:00,0.006098058085732633
2020-02-11 00:00:00+00:00,0.01196830921754881
2020-02-18 00:00:00+00:00,0.006940112776510855
2020-02-25 00:00:00+00:00,0.00893132738335442
2020-03-03 00:00:00+00:00,0.0068291435601764115
2020-03-10 00:00:00+00:00,0.011710761714371576
2020-03-17 00:00:00+00:00,0.020006453154523755
2020-03-24 00:00:00+00:00,0.011129092796967215
2020-03-31 00:00:00+00:00,0.00856454122593392
2020-04-07 00:00:00+00:00,0.0040917178289865
2020-04-14 00:00:00+00:00,0.0065672543651018
2020-04-21 00:00:00+00:00,0.008273282407824035
2020-04-28 00:00:00+00:00,0.019670453996721397
2020-05-05 00:00:00+00:00,0.04511788216717913
2020-05-12 00:00:00+00:00,0.050809035069023435
2020-05-19 00:00:00+00:00,0.05168448352925869
2020-05-26 00:00:00+00:00,0.031936982663740454
2020-06-02 00:00:00+00:00,0.04254361050541967
2020-06-09 00:00:00+00:00,3.870877093348545e-10
2020-06-16 00:00:00+00:00,1.9783098857286792e-10
2020-06-23 00:00:00+00:00,9.160184737610828e-10
2020-06-30 00:00:00+00:00,8.497637310211368e-10
2020-07-07 00:00:00+00:00,3.166774318124681e-11
2020-07-14 00:00:00+00:00,8.264545177283424e-12
2020-07-21 00:00:00+00:00,1.7019868844048655e-11
2020-07-28 00:00:00+00:00,6.61322714426224e-12
2020-08-04 00:00:00+00:00,2.5520238456851917e-12
2020-08-11 00:00:00+00:00,1.1088290538203008e-13
2020-08-18 00:00:00+00:00,2.1722114904017982e-13
2020-08-25 00:00:00+00:00,5.265350784820618e-13
2020-09-01 00:00:00+00:00,8.73997929985966e-12
2020-09-08 00:00:00+00:00,1.0004582635630836e-11
2020-09-15 00:00:00+00:00,4.404456375988267e-12
2020-09-22 00:00:00+00:00,1.864296718443512e-10
2020-09-29 00:00:00+00:00,5.806135016972365e-11
2020-10-06 00:00:00+00:00,4.786429620998381e-12
2020-10-13 00:00:00+00:00,2.3211796397602892e-11
2020-10-20 00:00:00+00:00,1.7828650183818652e-11
2020-10-27 00:00:00+00:00,4.807161625126762e-12
2020-11-03 00:00:00+00:00,1.5517953147004005e-11
2020-11-10 00:00:00+00:00,8.614829785105386e-12
2020-11-17 00:00:00+00:00,1.946020636261105e-12
2020-11-24 00:00:00+00:00,1.853167668270466e-12
2020-12-01 00:00:00+00:00,5.153580104951833e-13
2020-12-08 00:00:00+00:00,8.68808233347714e-12
2020-12-15 00:00:00+00:00,1.0975969479457202e-11
2020-12-22 00:00:00+00:00,5.799874853087689e-11
2020-12-29 00:00:00+00:00,1.5947481791094312e-10
2021-01-05 00:00:00+00:00,4.086179666345029e-11
2021-01-12 00:00:00+00:00,1.7533810538766277e-12
2021-01-19 00:00:00+00:00,3.7199518087665793e-13
2021-01-26 00:00:00+00:00,5.832675049387673e-14
2021-02-02 00:00:00+00:00,8.472767030480805e-14
2021-02-09 00:00:00+00:00,4.657012782622083e-14
2021-02-16 00:00:00+00:00,1.49444996630062e-13
2021-02-23 00:00:00+00:00,5.293214507106901e-14
2021-03-02 00:00:00+00:00,1.2407222984449038e-12
2021-03-09 00:00:00+00:00,2.5214286544304135e-11
2021-03-16 00:00:00+00:00,1.0261283265161291e-11
2021-03-23 00:00:00+00:00,1.301086142706436e-10
2021-03-30 00:00:00+00:00,3.883399596593865e-12
2021-04-06 00:00:00+00:00,2.5505200289963126e-10
2021-04-13 00:00:00+00:00,1.0673618036714321e-10
2021-04-20 00:00:00+00:00,1.2096491009580589e-10
2021-04-27 00:00:00+00:00,4.247448933122852e-11
2021-05-04 00:00:00+00:00,1.1343252139971746e-10
2021-05-11 00:00:00+00:00,1.2735249715710185e-12
2021-05-18 00:00:00+00:00,1.321984975299722e-12
2021-05-25 00:00:00+00:00,4.040266216026448e-12
2021-06-01 00:00:00+00:00,9.263123202125957e-11
2021-06-08 00:00:00+00:00,1.08974128393197e-10
2021-06-15 00:00:00+00:00,1.3179972054591896e-10
2021-06-22 00:00:00+00:00,2.5643439703906716e-10
2021-06-29 00:00:00+00:00,2.5929681606593953e-10
2021-07-06 00:00:00+00:00,1.4455135352839368e-09
2021-07-13 00:00:00+00:00,7.973090693388323e-09
2021-07-20 00:00:00+00:00,9.439061900966893e-08
2021-07-27 00:00:00+00:00,1.6252246610008187e-07
2021-08-03 00:00:00+00:00,1.5665776602572346e-07
2021-08-10 00:00:00+00:00,4.469721494970338e-08
2021-08-17 00:00:00+00:00,3.252572531802567e-08
2021-08-24 00:00:00+00:00,1.534333836690573e-08
2021-08-31 00:00:00+00:00,4.085555437802756e-09
2021-09-07 00:00:00+00:00,5.521475399927114e-09
2021-09-14 00:00:00+00:00,1.5605183610625167e-08
2021-09-21 00:00:00+00:00,8.623091786022497e-09
2021-09-28 00:00:00+00:00,8.746969303086882e-09
2021-10-05 00:00:00+00:00,1.0032081525585148e-07
2021-10-12 00:00:00+00:00,5.070751797877862e-07
2021-10-19 00:00:00+00:00,3.286820901748534e-06
2021-10-26 00:00:00+00:00,1.2081261572881753e-07
2021-11-02 00:00:00+00:00,4.986942218481078e-08
2021-11-09 00:00:00+00:00,2.5355254647633367e-05
2021-11-16 00:00:00+00:00,6.018501616752669e-05
2021-11-23 00:00:00+00:00,0.00010536402541519117
2021-11-30 00:00:00+00:00,0.00044092634376582707
2021-12-07 00:00:00+00:00,2.9233890985350772e-05
2021-12-14 00:00:00+00:00,0.00020932912305979932
2021-12-21 00:00:00+00:00,0.0001739674067178262
2021-12-28 00:00:00+00:00,0.00025071400042146324
2022-01-04 00:00:00+00:00,0.00015635010707814649
2022-01-11 00:00:00+00:00,0.0001297531866410109
2022-01-18 00:00:00+00:00,0.00013448845218136155
2022-01-25 00:00:00+00:00,4.8877299659332965e-05
2022-02-01 00:00:00+00:00,2.3048392922931794e-06
2022-02-08 00:00:00+00:00,1.4925556285807775e-07
2022-02-15 00:00:00+00:00,2.0746812257213474e-07
