horizon_h,from_fe,from_price
0,3.770733309027611e-05,0.9999622926669096
1,0.00030195071249778874,0.999698049287502
2,0.0008984914442944748,0.9991015085557053
3,0.001599389441039176,0.9984006105589607
4,0.001751481178110865,0.9982485188218889
5,0.0016622224111798437,0.99833777758882
6,0.0017269104164684156,0.9982730895835313
7,0.0020457157876363125,0.9979542842123633
8,0.0026019411512044474,0.9973980588487951
9,0.003427952679453867,0.9965720473205457
10,0.0045362727386441615,0.9954637272613555
11,0.00577850726963692,0.9942214927303629
12,0.0067717104597695725,0.9932282895402303
13,0.007461040551068384,0.9925389594489316
14,0.007804310414114323,0.9921956895858856
15,0.00804007881935432,0.9919599211806457
16,0.008198450552506046,0.9918015494474939
17,0.008571202654488424,0.9914287973455116
18,0.0091250902211916,0.9908749097788083
19,0.00968524232903614,0.9903147576709639
20,0.010149295363120791,0.9898507046368792
21,0.010439192111212378,0.9895608078887875
22,0.010742571369920607,0.9892574286300794
23,0.011024405535742526,0.9889755944642573
