,count,mean,std,min,25%,50%,75%,max
da_id_spread,66529.0,-1.2829529979407481,25.105321032375162,-432.32,-1.6499999999999915,0.0,2.920000000000016,474.11
id1_spread,0.0,,,,,,,
id3_spread,66529.0,-8.524590178719055,33.68204969515418,-442.37,-11.629999999999995,0.0,1.5799999999999983,511.74
