,n_recent_daily,n_full_hourly,ADF_auction_p,ADF_cont_p,EG_t,EG_p,Joh_rank,Joh_beta,VECM_alpha,VECM_beta,halflife_h
ID3,1096,26281,3.7878404949895494e-05,0.0014012874217967982,-5.119455023416917,9.870043392557631e-05,2,"[np.complex128(1+0j), np.complex128(-0.6933541377852885+0j)]","[np.float64(-0.7138411789620304), np.float64(-0.2557453043064676)]","[np.float64(1.0), np.float64(-0.6933541377852893)]",5.534644222529742
DA,1096,26281,0.00041988324000622704,0.0014012874217967982,-7.071173978000973,5.8039650583826994e-09,2,"[np.complex128(1+0j), np.complex128(-0.7897417246767956+0j)]","[np.float64(-0.964604463744961), np.float64(-0.5476399780071644)]","[np.float64(1.0), np.float64(-0.7897417246768013)]",3.4920212254485277
